Title,key word,location
北市松山民宅暗夜竄火 警消撲救疏散5人 起火原因待查,北市、建築,['台北']
體操／世界盃杜哈站 李智凱鞍馬預賽第1續搶奧運資格,李智凱、林育信,[]
謝國樑食安三箭 營養午餐每人增20元、待遇追加1942萬,營養午餐、營養師、食安,['基隆']
日本國民美食漢堡排為何突然爆紅？日人：都是從它開始,日本、漢堡、美食,[]
龍華部隊工兵過太爽？上網豪賭39天輸到脫褲  下場曝,憲兵、桃園、賭博,['桃園']
萬里浮屍頭套垃圾袋雙腳綁 家屬：不知為何這樣盼查清,塑膠袋、萬里,['新北']
洪秀柱：7月將率200名台灣青年赴浙江參訪,台海、洪秀柱、青年,[]
北榮名醫涉收回扣 院長陳威明發信給全院同仁說這件事,回扣、醫學、醫師,['台北']
中美經濟工作組會議 雙方再次就工業產能過剩的議題交鋒,溝通、美國,[]
藍營大咖爆家暴慣犯 國民黨回應了,國民黨、家暴、未成年,['台北']
7月底再有四所大專校院退場 教育部：5月分發安置近千學生,大同技術學院、大學退場、少子化、教育部、明道大學、環球科大、立法院、高教,['台北']
警追毒蟲跑到快斷氣 外送員催油門一掌巴下去抓到人,外送員、影片、毒品,['台中']
影／桃園3度跳電 張善政轟蔡英文能源政策「荒腔走板」,台電、賴清德,['桃園']
大甲媽回鑾鎮瀾宮副董出拳揍人！顏清標出面當公親 挨打接轎男撤告 ,大甲媽祖、遶境、鎮瀾宮、顏清標,['台中']
00929配息0.2元除息前更大跌讓大家上車！ 存股達人：真是太棒了,00878國泰永續高股息、00929復華台灣科技優息ETF、均價、大盤、除息,[]
爆徐巧芯老公特權免兵役 劉彥澧伸右小腿拿證據要溫朗東道歉,免役、兵役、溫朗東,['台中']
動盪中仍「錢途亮眼」！近期財運爆棚的3大生肖,生肖、財務、財運,[]
台鐵大便男落網！稱當下真的太想「方便」 扔屎抹屎畫面曝,台東、台鐵、車廂、通緝,['台北']
